SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
STARLINK-35729;3.2;06:01:00;57;E;06:01:00;57;E;06:04:27;10;ESE;66837;1 66837U 25280S   26026.58054322 -.00012778  00000-0 -10642-2 0  9994;2 66837  70.0067  80.8219 0003723 310.5725  49.5110 14.98359810  9768
STARLINK-34425;4.2;06:01:58;60;ENE;06:01:58;60;ENE;06:05:29;10;ENE;64350;1 64350U 25126G   26027.58680180  .00013767  00000-0  11585-2 0  9993;2 64350  70.0019 138.1488 0003111 270.5523  89.5280 14.98355040 34525
Cosmos 1066;4.5;06:02:33;10;NNW;06:08:09;72;WSW;06:13:29;10;S;11165;1 11165U 78121A   26027.52948300  .00000157  00000-0  77481-4 0  9995;2 11165  81.2360  33.2378 0050419 134.3963 226.1355 14.12080524941476
Cosmos 1814 Rocket;4.0;06:02:33;59;NNW;06:03:32;77;NE;06:08:45;10;SE;17304;1 17304U 87006B   26027.52391755  .00000445  00000-0  15147-3 0  9994;2 17304  74.0564  63.9051 0029410 197.4835 162.5310 14.39116976 45329
STARLINK-35864;3.9;06:03:12;31;NE;06:03:12;31;NE;06:05:13;10;ENE;67081;1 67081U 25298G   26027.38444708  .00079209  00000-0  17879-2 0  9994;2 67081  69.9979 124.0814 0003236 273.5015  86.5797 15.42808438  6898
STARLINK-35881;3.1;06:05:26;61;ESE;06:05:26;61;ESE;06:08:58;10;ESE;66830;1 66830U 25280K   26027.51814419  .00008548  00000-0  70813-3 0  9997;2 66830  70.0009  78.4746 0002557 273.9065  86.1803 14.99152177  9908
STARLINK-35784;3.9;06:06:03;32;NE;06:06:03;32;NE;06:08:08;10;ENE;67093;1 67093U 25298U   26027.38643067  .00089135  00000-0  20092-2 0  9996;2 67093  69.9986 124.0870 0003322 280.3437  79.7370 15.42803813  6894
Cosmos 2369 Rocket;4.3;06:06:56;10;SSE;06:11:28;25;ESE;06:16:01;10;NE;26070;1 26070U 00006B   26027.54000338  .00000338  00000-0  19616-3 0  9991;2 26070  71.0013 184.3574 0018587 246.9248 112.9916 14.15815697342730
Cosmos 1607;4.4;06:07:36;43;SSW;06:07:36;43;SSW;06:12:53;10;SSE;15378;1 15378U 84112A   26027.46173172 -.00000057  00000-0  28893-4 0  9995;2 15378  64.9917  65.6324 0035633  16.3523 343.8677 13.83703725 85514
METEOR-M;4.0;06:07:47;10;NNE;06:13:07;69;WNW;06:13:23;67;W;35865;1 35865U 09049A   26027.60219595  .00000239  00000-0  12544-3 0  9996;2 35865  98.7200 351.2323 0002483  22.5993 337.5294 14.23115747849257
STARLINK-34437;4.0;06:07:59;65;ENE;06:07:59;65;ENE;06:11:38;10;ENE;64346;1 64346U 25126C   26027.59098040  .00006945  00000-0  58901-3 0  9991;2 64346  70.0017 138.1657 0002915 274.4302  85.6524 14.98345033 34524
STARLINK-36035;3.8;06:08:54;33;NE;06:08:54;33;NE;06:11:04;10;ENE;67082;1 67082U 25298H   26027.51809814  .00071441  00000-0  16214-2 0  9995;2 67082  70.0009 123.7481 0002738 250.8041 109.2845 15.42682436  6913
STARLINK-36205;3.7;06:11:45;35;NE;06:11:45;35;NE;06:13:59;10;ENE;67098;1 67098U 25298Z   26027.39039871  .00092974  00000-0  21019-2 0  9999;2 67098  69.9975 124.1009 0004435 287.7949  72.2748 15.42695783  6899
STARLINK-35898;2.9;06:13:03;68;ESE;06:13:03;68;ESE;06:16:47;10;ESE;66826;1 66826U 25280F   26027.52350482  .00000603  00000-0  58316-4 0  9997;2 66826  70.0008  78.0892 0003120 266.1495  93.9307 14.98326535  9914
STARLINK-35769;2.9;06:13:18;68;ESE;06:13:18;68;ESE;06:17:02;10;ESE;66842;1 66842U 25280X   26027.83335647 -.00025949  00000-0 -21744-2 0  9990;2 66842  70.0001  77.3056 0003428 269.4256 320.5950 14.98339730  5584
STARLINK-34407;3.9;06:13:59;70;NE;06:13:59;70;NE;06:17:47;10;ENE;64347;1 64347U 25126D   26027.59514974 -.00029403  00000-0 -24635-2 0  9993;2 64347  70.0001 138.1744 0003297 290.7023  69.3782 14.98381228 34521
STARLINK-34457;3.9;06:14:00;70;NE;06:14:00;70;NE;06:17:47;10;ENE;64368;1 64368U 25126AA  26027.52839376  .00047876  00000-0  39857-2 0  9999;2 64368  70.0061 138.3450 0001806 282.8280  77.2677 14.98400690 34512
STARLINK-35794;3.6;06:14:52;36;NE;06:14:52;36;NE;06:17:09;10;ENE;67085;1 67085U 25298L   26027.52224069  .00093050  00000-0  21048-2 0  9993;2 67085  70.0015 123.7623 0002404 240.9595 119.1346 15.42685059  6915
STARLINK-11195 [DTC];4.2;06:15:01;10;SSE;06:20:20;83;WSW;06:25:40;10;NNW;60251;1 60251U 87053J   26027.47445695  .00005017  00000-0  20982-2 0  9994;2 60251  98.7286 219.9865 0016759 163.2329 196.9408 14.26451908 79171
Cosmos 1680 Rocket;4.2;06:15:11;40;NNW;06:15:48;41;NNW;06:20:51;10;ENE;16012;1 16012U 85079B   26027.53657926  .00000438  00000-0  15416-3 0  9994;2 16012  74.0590 121.2675 0015823 314.8875  45.0993 14.37726147115342
Cosmos 2227 Rocket;2.4;06:16:24;46;NW;06:18:00;66;NNE;06:23:40;10;ESE;22285;1 22285U 92093B   26027.60939817 -.00000055  00000-0 -37178-5 0  9995;2 22285  71.0218  90.5081 0004662 337.6636  22.4284 14.15443674707347
