SatName;Magnitude;StartTime;StartAlt;StartAz;HiTime;HiAlt;HiAz;EndTime;EndAlt;EndAz;NORAD;TLE1;TLE2
STARLINK-36228;4.4;05:44:46;25;NE;05:44:46;25;NE;05:46:25;10;ENE;67096;1 67096U 25298X   26027.65822710  .00087512  00000-0  19793-2 0  9996;2 67096  69.9990 123.0225 0003230 271.5287  88.5525 15.42709956  6947
STARLINK-35982;3.7;05:45:25;44;ESE;05:45:25;44;ESE;05:48:24;10;ESE;66828;1 66828U 25280H   26027.50264316 -.00014106  00000-0 -11768-2 0  9990;2 66828  70.0015  78.4171 0002821 268.1805  91.9031 14.98329880  9909
METEOR-M;4.0;05:45:26;10;NNE;05:50:49;85;WNW;05:50:54;84;W;35865;1 35865U 09049A   26027.81312008  .00000238  00000-0  12482-3 0  9992;2 35865  98.7200 351.4412 0002472  22.0859 338.0426 14.23115880849286
STARLINK-35896;3.7;05:45:49;44;ESE;05:45:49;44;ESE;05:48:46;10;ESE;66824;1 66824U 25280D   26027.57007078  .00010790  00000-0  89228-3 0  9993;2 66824  70.0021  78.2563 0002356 265.5018  94.5872 14.99120397  9911
Sich 1;4.2;05:46:32;35;NNE;05:46:32;35;NNE;05:49:00;10;NNE;23657;1 23657U 95046A   26027.50655293  .00003677  00000-0  33992-3 0  9991;2 23657  82.5242 176.0074 0019870  76.7320 283.6116 14.94165766644979
STARLINK-35837;3.7;05:47:10;44;ESE;05:47:10;44;ESE;05:50:08;10;ESE;66840;1 66840U 25280V   26027.43756588  .00000503  00000-0  48954-4 0  9996;2 66840  70.0009  78.5922 0002754 264.9135  95.1710 14.99151011  9894
STARLINK-36170;4.3;05:47:54;26;NE;05:47:54;26;NE;05:49:38;10;ENE;67083;1 67083U 25298J   26027.66039156  .00068257  00000-0  15496-2 0  9998;2 67083  70.0016 123.0330 0003090 269.3095  90.7733 15.42687106  6946
Cosmos 1805 Rocket;4.1;05:48:20;55;NE;05:48:20;55;NE;05:51:51;10;NNE;17192;1 17192U 86097B   26027.51625379  .00001023  00000-0  11448-3 0  9992;2 17192  82.5067 180.9321 0016734 156.6379 269.6934 14.85861283 94235
STARLINK-11195 [DTC];4.4;05:49:25;10;SSE;05:54:44;77;ENE;06:00:01;10;NNW;60251;1 60251U 87053J   26027.47445695  .00005017  00000-0  20982-2 0  9994;2 60251  98.7286 219.9865 0016759 163.2329 196.9408 14.26451908 79171
STARLINK-35841;4.2;05:50:48;27;NE;05:50:48;27;NE;05:52:36;10;ENE;67086;1 67086U 25298M   26027.66237734  .00062831  00000-0  14295-2 0  9991;2 67086  70.0003 123.0389 0003777 258.9780 101.0977 15.42646311  6945
Cosmos 2369 Rocket;4.3;05:51:19;10;SSE;05:55:47;24;ESE;06:00:15;10;ENE;26070;1 26070U 00006B   26027.82261056  .00000347  00000-0  20072-3 0  9996;2 26070  71.0013 183.7632 0018578 246.5580 113.3590 14.15815908342775
STARLINK-35715;3.5;05:51:27;48;ESE;05:51:27;48;ESE;05:54:33;10;ESE;66841;1 66841U 25280W   26027.10628932 -.00018376  00000-0 -15344-2 0  9996;2 66841  69.9998  79.4415 0002608 241.0542 119.0355 14.98378586  9845
STARLINK-34270;4.4;05:52:15;54;ENE;05:52:15;54;ENE;05:55:34;10;ENE;64355;1 64355U 25126M   26027.57846116  .00007070  00000-0  59960-3 0  9990;2 64355  70.0018 138.1208 0002530 267.6513  92.4356 14.98339815 35732
STARLINK-34458;4.4;05:52:28;54;ENE;05:52:28;54;ENE;05:55:48;10;ENE;64360;1 64360U 25126S   26027.57862109  .00008599  00000-0  72732-3 0  9995;2 64360  70.0012 138.1173 0003357 277.7970  82.2808 14.98343548 34523
Cosmos 1500 Rocket;4.0;05:52:40;60;NE;05:52:40;60;NE;05:56:25;10;NNE;14373;1 14373U 83099B   26027.50714211  .00001027  00000-0  11409-3 0  9993;2 14373  82.5397 181.1883 0017860 274.8793  85.0384 14.86178708266503
Cosmos 2074 Rocket;4.0;05:52:48;33;S;05:55:50;79;ESE;06:02:08;10;NNE;20578;1 20578U 90036B   26027.84053183  .00000046  00000-0  30915-4 0  9991;2 20578  82.9443 183.5596 0013115 172.7359 348.3557 13.76632735796567
Cosmos 1408 Rocket;4.2;05:53:00;49;NNE;05:53:00;49;NNE;05:56:11;10;NNE;13553;1 13553U 82092B   26027.51976186  .00001000  00000-0  10952-3 0  9999;2 13553  82.5687 179.8951 0021831  78.7048 347.9737 14.86615848322811
STARLINK-35476;3.5;05:53:08;49;ESE;05:53:08;49;ESE;05:56:18;10;ESE;66825;1 66825U 25280E   26026.70591765 -.00205691  00000-0 -17995-1 0  9997;2 66825  70.0001  80.4553 0002274 210.1485 149.9544 14.97784139  9781
STARLINK-5085;4.3;05:54:23;55;E;05:54:23;55;E;05:57:55;10;ENE;55392;1 55392U 23014B   26027.44713879 -.00001491  00000-0 -11723-3 0  9998;2 55392  70.0013 148.3366 0002995 271.7272  88.3544 14.98319146166372
STARLINK-36055;3.5;05:54:24;49;ESE;05:54:24;49;ESE;05:57:32;10;ESE;66846;1 66846U 25280AB  26027.50931044  .00002062  00000-0  17683-3 0  9998;2 66846  70.0000  78.4416 0003007 268.6667  91.4148 14.99145420  9915
STARLINK-36222;4.1;05:56:26;29;NE;05:56:26;29;NE;05:58:21;10;ENE;67097;1 67097U 25298Y   26027.66632934  .00087216  00000-0  19726-2 0  9992;2 67097  69.9993 123.0520 0002967 276.0826  84.0018 15.42712102  6949
Nadezhda 3 Rocket;4.4;05:57:05;10;NNW;06:01:42;45;NW;06:01:42;45;NW;21153;1 21153U 91019B   26027.53722476  .00000228  00000-0  21727-3 0  9999;2 21153  82.9245  21.6939 0029105   2.8371 116.4910 13.76335066751108
Cosmos 1295 Rocket;4.4;05:57:33;39;S;06:00:04;85;ESE;06:06:18;10;NNE;12682;1 12682U 81077B   26027.81175781  .00000185  00000-0  16534-3 0  9993;2 12682  82.9172 182.1158 0034524 155.3715 204.9101 13.78885865236176
SL-16 R/B;4.5;05:57:39;13;NNW;05:57:39;13;NNW;05:58:22;10;NNW;27006;1 27006U 01056F   26027.73329392  .00000012  00000-0  64752-4 0  9993;2 27006  99.7604 192.9572 0015267  92.4959 278.6567 13.71089839207588
STARLINK-36061;3.3;05:57:44;53;ESE;05:57:44;53;ESE;06:01:00;10;ESE;66847;1 66847U 25280AC  26027.57795456  .00009525  00000-0  80530-3 0  9993;2 66847  70.0004  78.2772 0003194 269.6089  90.4704 14.98313996  9910
STARLINK-34243;4.2;05:58:15;58;NE;05:58:15;58;NE;06:01:43;10;ENE;64361;1 64361U 25126T   26027.51587398  .00014973  00000-0  12595-2 0  9997;2 64361  70.0017 138.3033 0003181 278.6986  81.3813 14.98344158 34511
Timation 2 Rocket;4.3;05:58:30;41;SSW;06:00:29;61;SE;06:06:30;10;NE;4159;1  4159U 69082AB  26027.73605324  .00000116  00000-0  17202-3 0  9994;2  4159  69.9623 157.1615 0112956 135.1186 225.9110 13.72886191819308
STARLINK-36166;4.0;05:59:34;31;NE;05:59:34;31;NE;06:01:35;10;ENE;67084;1 67084U 25298K   26027.66849239  .00068830  00000-0  15628-2 0  9994;2 67084  69.9982 123.0592 0003041 279.1049  80.9788 15.42680404  6945
Cosmos 2263 Rocket;2.5;06:00:39;50;NW;06:01:51;61;N;06:07:32;10;E;22803;1 22803U 93059B   26027.61028075 -.00000134  00000-0 -42458-4 0  9994;2 22803  70.9902  97.7593 0019583 272.4649  87.4233 14.17223388673714
Cosmos 44 Rocket;3.5;06:00:43;63;S;06:00:43;63;S;06:05:31;10;ESE;877;1   877U 64053B   26027.63080114  .00000585  00000-0  13763-3 0  9991;2   877  65.0768  91.6097 0077525 305.2961  54.0905 14.61323394260793
Cosmos 2227 Rocket;2.4;06:01:20;51;NW;06:02:38;66;NNE;06:08:18;10;E;22285;1 22285U 92093B   26027.60939817 -.00000055  00000-0 -37178-5 0  9995;2 22285  71.0218  90.5081 0004662 337.6636  22.4284 14.15443674707347
Resurs 1-4 Rocket;2.5;06:02:12;10;NNE;06:06:48;48;NW;06:06:48;48;NW;25400;1 25400U 98043G   26027.82619745  .00000142  00000-0  78504-4 0  9999;2 25400  98.8188 340.9176 0010638 129.0152 231.1976 14.26039264433166
STARLINK-35882;3.9;06:02:25;32;NE;06:02:25;32;NE;06:04:29;10;ENE;67088;1 67088U 25298P   26027.54079319  .00017647  00000-0  40518-3 0  9996;2 67088  69.9994 123.4191 0002987 256.3850 103.6999 15.42730832  6922
STARLINK-35966;3.2;06:03:08;56;ESE;06:03:08;56;ESE;06:06:31;10;ESE;66821;1 66821U 25280A   26026.44702180  .00054745  00000-0  45504-2 0  9997;2 66821  70.0027  81.1589 0003343 281.5355  78.5429 14.98412012  9742
ADEOS Rocket;3.1;06:03:16;10;NNE;06:09:44;57;NW;06:10:29;53;W;24279;1 24279U 96046C   26027.80364110  .00000028  00000-0  79299-4 0  9999;2 24279  98.7427 343.1163 0299202 181.9879 208.7332 13.47464664447668
STARLINK-35729;3.2;06:03:27;57;ESE;06:03:27;57;ESE;06:06:51;10;ESE;66837;1 66837U 25280S   26026.58054322 -.00012778  00000-0 -10642-2 0  9994;2 66837  70.0067  80.8219 0003723 310.5725  49.5110 14.98359810  9768
STARLINK-34425;4.1;06:04:14;62;NE;06:04:14;62;NE;06:07:51;10;ENE;64350;1 64350U 25126G   26027.72032012  .00019453  00000-0  16321-2 0  9995;2 64350  70.0012 137.8117 0003238 272.8013  87.2775 14.98364944 34541
SJ 16-02;3.1;06:04:41;15;SSE;06:07:29;29;ESE;06:11:12;10;NE;41634;1 41634U 16043A   26027.85692096  .00002149  00000-0  20908-3 0  9992;2 41634  75.0023 184.5205 0007108   8.3247 351.8058 14.93057222520194
Cosmos 1943 Rocket;2.2;06:05:10;57;SSW;06:06:13;71;SE;06:11:45;10;NE;19120;1 19120U 88039B   26027.75957127  .00000072  00000-0  56708-4 0  9990;2 19120  71.0150 155.0946 0020329  37.9924 322.2630 14.19609119952576
Cosmos 1703 Rocket;3.9;06:06:42;56;SE;06:06:42;56;SE;06:10:12;10;SSE;16263;1 16263U 85108B   26027.53032499  .00000864  00000-0  97029-4 0  9991;2 16263  82.5005  39.8414 0020547  58.9494  59.1750 14.85462476149813
STARLINK-35881;3.1;06:07:06;58;ESE;06:07:06;58;ESE;06:10:32;10;ESE;66830;1 66830U 25280K   26027.51814419  .00008548  00000-0  70813-3 0  9997;2 66830  70.0009  78.4746 0002557 273.9065  86.1803 14.99152177  9908
CZ-2C R/B;2.4;06:08:00;10;NNE;06:12:35;70;ESE;06:13:41;49;S;36089;1 36089U 09061B   26027.83848443  .00000709  00000-0  17904-3 0  9991;2 36089  98.4407   4.6420 0079141 110.3452 250.6269 14.52274216857716
CENTAUR R/B;3.9;06:08:41;18;S;06:12:46;36;SE;06:19:37;10;ENE;26906;1 26906U 01040B   26027.73333398  .00000161  00000-0  13895-3 0  9991;2 26906  63.4217 160.3906 0616254 341.4531  16.4888 13.45131634 84512
STARLINK-34437;3.9;06:10:16;67;NE;06:10:16;67;NE;06:14:01;10;ENE;64346;1 64346U 25126C   26027.59098039  .00006945  00000-0  58901-3 0  9999;2 64346  70.0017 138.1657 0002915 274.4301  85.6524 14.98345033 34523
